stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
UE,2019-09-30,9742000.0,,1547486000.0,102658000.0,938522000.0,,653664000.0,2142042000.0,,,24081000.0,441561000.0,28645000.0,,,185170000.0,-29217000.0,109445000.0,1212000.0,2873878000.0,,24356000.0,988049000.0,1838165000.0,1016054000.0,49527000.0,,,47664000.0
UE,2019-06-30,9044000.0,,1548944000.0,109832000.0,908484000.0,,601086000.0,2180094000.0,,,33647000.0,412126000.0,25621000.0,,,183092000.0,-56580000.0,79128000.0,1212000.0,2858419000.0,,22390000.0,960102000.0,1848733000.0,1015470000.0,51618000.0,,,49584000.0
IHG,2019-12-31,90000000.0,6000000.0,2098000000.0,591000000.0,-2849000000.0,394000000.0,935000000.0,799000000.0,-2433000000.0,66000000.0,1365000000.0,195000000.0,472000000.0,-2433000000.0,,1383000000.0,809000000.0,25000000.0,52000000.0,3976000000.0,743000000.0,67000000.0,-1473000000.0,5441000000.0,,1037000000.0,4000000.0,,8000000.0
IHG,2019-09-30,90000000.0,6000000.0,2098000000.0,591000000.0,-2849000000.0,394000000.0,935000000.0,799000000.0,-2433000000.0,66000000.0,1365000000.0,195000000.0,472000000.0,-2433000000.0,,1383000000.0,809000000.0,25000000.0,52000000.0,3976000000.0,743000000.0,67000000.0,-1473000000.0,5441000000.0,,1037000000.0,4000000.0,,8000000.0
IHG,2019-06-30,494000000.0,6000000.0,2295000000.0,826000000.0,-2893000000.0,373000000.0,1029000000.0,824000000.0,-2357000000.0,65000000.0,1284000000.0,188000000.0,455000000.0,-2357000000.0,,1353000000.0,780000000.0,5000000.0,145000000.0,4142000000.0,669000000.0,60000000.0,-1432000000.0,5566000000.0,,1461000000.0,4000000.0,,8000000.0
IHG,2019-03-31,494000000.0,6000000.0,2295000000.0,826000000.0,-2893000000.0,373000000.0,1029000000.0,824000000.0,-2357000000.0,65000000.0,1284000000.0,188000000.0,455000000.0,-2357000000.0,,1353000000.0,780000000.0,5000000.0,145000000.0,4142000000.0,669000000.0,60000000.0,-1432000000.0,5566000000.0,,1461000000.0,4000000.0,,8000000.0
ATXI,2020-03-31,350000.0,,,,5773000.0,,6696000.0,,,,923000.0,6574000.0,,,,,-69359000.0,,2000.0,6696000.0,,,5773000.0,923000.0,75130000.0,,,,
ATXI,2019-12-31,354000.0,,,,6800000.0,,8915000.0,,,,2115000.0,8745000.0,,,,,-68117000.0,,2000.0,8915000.0,,,6800000.0,2115000.0,74915000.0,,,,
ATXI,2019-09-30,808000.0,,,,11961000.0,,13878000.0,,,,1917000.0,8741000.0,,,,,-62702000.0,,2000.0,13878000.0,,,11961000.0,1917000.0,74661000.0,,,,
ATXI,2019-06-30,851000.0,,,,13904000.0,,15677000.0,,,,1773000.0,10455000.0,,,,,-60460000.0,,2000.0,15677000.0,,,13904000.0,1773000.0,74362000.0,,,,
STWD,2020-03-31,187020000.0,,12548950000.0,10547473000.0,4122731000.0,865306000.0,12755248000.0,2253070000.0,35884000.0,,375839000.0,811656000.0,61361714000.0,-97140000.0,259846000.0,59807306000.0,-616765000.0,1294671000.0,2894000.0,77577189000.0,137529000.0,,4448058000.0,72759838000.0,5159069000.0,82005000.0,,,369293000.0
STWD,2019-12-31,194918000.0,,11762730000.0,10650161000.0,4371796000.0,894567000.0,12137285000.0,2266440000.0,50932000.0,,388173000.0,478388000.0,62398498000.0,-53262000.0,259846000.0,60743494000.0,-381719000.0,979793000.0,2874000.0,78042336000.0,137427000.0,,4700425000.0,72905322000.0,5132532000.0,85700000.0,,,436589000.0
STWD,2019-09-30,215919000.0,,11102217000.0,8971430000.0,4293652000.0,935252000.0,10889690000.0,2729538000.0,52377000.0,,383769000.0,284117000.0,59499827000.0,-51817000.0,259846000.0,58018209000.0,-417529000.0,1552660000.0,2871000.0,74434100000.0,137273000.0,,4655196000.0,69521086000.0,5121671000.0,119947000.0,,,257818000.0
STWD,2019-06-30,204659000.0,,11209598000.0,8825596000.0,4267258000.0,969448000.0,10982369000.0,2771960000.0,57124000.0,,371118000.0,334288000.0,57834261000.0,-47070000.0,259846000.0,56446619000.0,-421858000.0,1768809000.0,2864000.0,72947361000.0,136424000.0,,4637707000.0,68044110000.0,5103771000.0,129477000.0,,,265544000.0
ETNB,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETNB,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETNB,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETNB,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSPR,2020-03-31,,,,,69765000.0,,,,,,,,,,,,,,,,,,69765000.0,,,,,,
CSPR,2019-12-31,,,,,-308031000.0,,,,,,,,,,,,,,,,,,-307094000.0,,,,,,
CSPR,2019-09-30,,,,,-285118000.0,,,,,,,,,,,,,,,,,,-284247000.0,,,,,,
CSPR,2019-03-31,,,,,-224759000.0,,,,,,,,,,,,,,,,,,-223889000.0,,,,,,
PHAS,2020-03-31,1918000.0,,11353000.0,896000.0,53486000.0,,72541000.0,4285000.0,,,7495000.0,59441000.0,32000.0,-24000.0,,3086000.0,-177063000.0,,29000.0,76858000.0,,,53486000.0,23372000.0,230544000.0,,,3686000.0,
PHAS,2019-12-31,2921000.0,,12326000.0,1233000.0,59978000.0,,78823000.0,3639000.0,,,8479000.0,74025000.0,32000.0,-24000.0,,203000.0,-162158000.0,,29000.0,82494000.0,,,59978000.0,22516000.0,222131000.0,,,2378000.0,
PHAS,2019-09-30,1659000.0,,7740000.0,583000.0,70804000.0,,83369000.0,2802000.0,,,5962000.0,81771000.0,32000.0,-24000.0,,120000.0,-150827000.0,,29000.0,86203000.0,,,70804000.0,15399000.0,221626000.0,,,1990000.0,
PHAS,2019-06-30,3047000.0,,8429000.0,1180000.0,81609000.0,,94897000.0,2509000.0,,,5746000.0,90342000.0,32000.0,-24000.0,,56000.0,-139436000.0,,29000.0,97438000.0,,,81609000.0,15829000.0,221040000.0,,,1265000.0,
ZYXI,2020-03-31,2292000.0,3429000.0,,6549000.0,23397000.0,,25698000.0,6264000.0,,985000.0,5834000.0,14585000.0,1260000.0,-3846000.0,,,17293000.0,,34000.0,33222000.0,39000.0,,23397000.0,9914000.0,9916000.0,,,,-89000.0
